  0, 127
237, 127
219, 122
201, 116
185, 106
170,  95
157,  81
146,  66
138,  49
132,  31
129,  13
128, 250
130, 231
135, 213
143, 196
153, 180
165, 165
180, 153
196, 143
213, 135
231, 130
250, 128
 13, 129
 31, 132
 49, 138
 66, 146
 81, 157
 95, 170
106, 185
116, 201
122, 219
127, 237
127,   0
127,  19
122,  37
116,  55
106,  71
 95,  86
 81,  99
 66, 110
 49, 118
 31, 124
 13, 127
250, 127
231, 126
213, 121
196, 113
180, 103
165,  91
153,  76
143,  60
135,  43
130,  25
128,   6
129, 243
132, 225
138, 207
146, 190
157, 175
170, 161
185, 150
201, 140
219, 134
237, 129
  0, 128
 19, 129
 37, 134
 55, 140
 71, 150
 86, 161
 99, 175
110, 190
118, 207
124, 225
127, 243
127,   6
126,  25
121,  43
113,  60
103,  76
 91,  91
 76, 103
 60, 113
 43, 121
 25, 126
  6, 127
243, 127
225, 124
207, 118
190, 110
175,  99
161,  86
150,  71
140,  55
134,  37
129,  19
128,   0
129, 237
134, 219
140, 201
150, 185
161, 170
175, 157
190, 146
207, 138
225, 132
243, 129
  6, 128
 25, 130
 43, 135
 60, 143
 76, 153
 91, 165
103, 180
113, 196
121, 213
126, 231
127, 250
127,  13
124,  31
118,  49
110,  66
 99,  81
 86,  95
 71, 106
 55, 116
 37, 122
 19, 127
  0, 127
237, 127
219, 122
201, 116
185, 106
170,  95
157,  81
146,  66
138,  49
132,  31
129,  13
128, 250
130, 231
135, 213
143, 196
153, 180
165, 165
180, 153
196, 143
213, 135
231, 130
250, 128
 13, 129
 31, 132
 49, 138
 66, 146
 81, 157
 95, 170
106, 185
116, 201
122, 219
127, 237
127,   0
127,  19
122,  37
116,  55
106,  71
 95,  86
 81,  99
 66, 110
 49, 118
 31, 124
 13, 127
250, 127
231, 126
213, 121
196, 113
180, 103
165,  91
153,  76
143,  60
135,  43
130,  25
128,   6
129, 243
132, 225
138, 207
146, 190
157, 175
170, 161
185, 150
201, 140
219, 134
237, 129
  0, 128
 19, 129
 37, 134
 55, 140
 71, 150
 86, 161
 99, 175
110, 190
118, 207
124, 225
127, 243
127,   6
126,  25
121,  43
113,  60
103,  76
 91,  91
 76, 103
 60, 113
 43, 121
 25, 126
  6, 127
243, 127
225, 124
207, 118
190, 110
175,  99
161,  86
150,  71
140,  55
134,  37
129,  19
128,   0
129, 237
134, 219
140, 201
150, 185
161, 170
175, 157
190, 146
207, 138
225, 132
243, 129
  6, 128
 25, 130
 43, 135
 60, 143
 76, 153
 91, 165
103, 180
113, 196
121, 213
126, 231
127, 250
127,  13
124,  31
118,  49
110,  66
 99,  81
 86,  95
 71, 106
 55, 116
 37, 122
 19, 127
  0, 127
237, 127
219, 122
201, 116
185, 106
170,  95
157,  81
146,  66
138,  49
132,  31
129,  13
128, 250
130, 231
135, 213
143, 196
153, 180
165, 165
180, 153
196, 143
213, 135
231, 130
250, 128
 13, 129
 31, 132
 49, 138
 66, 146
 81, 157
 95, 170
106, 185
116, 201
122, 219
127, 237
127,   0
127,  19
122,  37
116,  55
106,  71
 95,  86
 81,  99
 66, 110
 49, 118
 31, 124
 13, 127
250, 127
231, 126
213, 121
196, 113
180, 103
165,  91
153,  76
143,  60
135,  43
130,  25
128,   6
129, 243
132, 225
138, 207
146, 190
157, 175
170, 161
185, 150
201, 140
219, 134
237, 129
  0, 128
 19, 129
 37, 134
 55, 140
 71, 150
 86, 161
 99, 175
110, 190
118, 207
124, 225
127, 243
127,   6
126,  25
121,  43
113,  60
103,  76
 91,  91
 76, 103
 60, 113
 43, 121
 25, 126
  6, 127
243, 127
225, 124
207, 118
190, 110
175,  99
161,  86
150,  71
140,  55
134,  37
129,  19
128,   0
129, 237
134, 219
140, 201
150, 185
161, 170
175, 157
190, 146
207, 138
225, 132
243, 129
  6, 128
 25, 130
 43, 135
 60, 143
 76, 153
 91, 165
103, 180
113, 196
121, 213
126, 231
127, 250
127,  13
124,  31
118,  49
110,  66
 99,  81
 86,  95
 71, 106
 55, 116
 37, 122
 19, 127
  0, 127
237, 127
219, 122
201, 116
185, 106
170,  95
157,  81
146,  66
138,  49
132,  31
129,  13
128, 250
130, 231
135, 213
143, 196
153, 180
165, 165
180, 153
196, 143
213, 135
231, 130
250, 128
 13, 129
 31, 132
 49, 138
 66, 146
 81, 157
 95, 170
106, 185
116, 201
122, 219
127, 237
127,   0
127,  19
122,  37
116,  55
106,  71
 95,  86
 81,  99
 66, 110
 49, 118
 31, 124
 13, 127
250, 127
231, 126
213, 121
196, 113
180, 103
165,  91
153,  76
143,  60
135,  43
130,  25
128,   6
129, 243
132, 225
138, 207
146, 190
157, 175
170, 161
185, 150
201, 140
219, 134
237, 129
  0, 128
 19, 129
 37, 134
 55, 140
 71, 150
 86, 161
 99, 175
110, 190
118, 207
124, 225
127, 243
127,   6
126,  25
121,  43
113,  60
103,  76
 91,  91
 76, 103
 60, 113
 43, 121
 25, 126
  6, 127
243, 127
225, 124
207, 118
190, 110
175,  99
161,  86
150,  71
140,  55
134,  37
129,  19
128,   0
129, 237
134, 219
140, 201
150, 185
161, 170
175, 157
190, 146
207, 138
225, 132
243, 129
  6, 128
 25, 130
 43, 135
 60, 143
 76, 153
 91, 165
103, 180
113, 196
121, 213
126, 231
127, 250
127,  13
124,  31
118,  49
110,  66
 99,  81
 86,  95
 71, 106
 55, 116
 37, 122
 19, 127
  0, 127
237, 127
219, 122
201, 116
185, 106
170,  95
157,  81
146,  66
138,  49
132,  31
129,  13
128, 250
130, 231
135, 213
143, 196
153, 180
165, 165
180, 153
196, 143
213, 135
231, 130
250, 128
 13, 129
 31, 132
 49, 138
 66, 146
 81, 157
 95, 170
106, 185
116, 201
122, 219
127, 237
127,   0
127,  19
122,  37
116,  55
106,  71
 95,  86
 81,  99
 66, 110
 49, 118
 31, 124
 13, 127
250, 127
231, 126
213, 121
196, 113
180, 103
165,  91
153,  76
143,  60
135,  43
130,  25
128,   6
129, 243
132, 225
138, 207
146, 190
157, 175
170, 161
185, 150
201, 140
219, 134
237, 129
  0, 128
 19, 129
 37, 134
 55, 140
 71, 150
 86, 161
 99, 175
110, 190
118, 207
124, 225
127, 243
127,   6
126,  25
121,  43
113,  60
103,  76
 91,  91
 76, 103
 60, 113
 43, 121
 25, 126
  6, 127
243, 127
225, 124
207, 118
190, 110
175,  99
161,  86
150,  71
140,  55
134,  37
129,  19
128,   0
129, 237
134, 219
140, 201
150, 185
161, 170
175, 157
190, 146
207, 138
225, 132
243, 129
  6, 128
 25, 130
 43, 135
 60, 143
 76, 153
 91, 165
103, 180
113, 196
121, 213
126, 231
127, 250
127,  13
124,  31
118,  49
110,  66
 99,  81
 86,  95
 71, 106
 55, 116
 37, 122
 19, 127
  0, 127
237, 127
219, 122
201, 116
185, 106
170,  95
157,  81
146,  66
138,  49
132,  31
129,  13
128, 250
130, 231
135, 213
143, 196
153, 180
165, 165
180, 153
196, 143
213, 135
231, 130
250, 128
 13, 129
 31, 132
 49, 138
 66, 146
 81, 157
 95, 170
106, 185
116, 201
122, 219
127, 237
127,   0
127,  19
122,  37
116,  55
106,  71
 95,  86
 81,  99
 66, 110
 49, 118
 31, 124
 13, 127
250, 127
231, 126
213, 121
196, 113
180, 103
165,  91
153,  76
143,  60
135,  43
130,  25
128,   6
129, 243
132, 225
138, 207
146, 190
157, 175
170, 161
185, 150
201, 140
219, 134
237, 129
  0, 128
 19, 129
 37, 134
 55, 140
 71, 150
 86, 161
 99, 175
110, 190
118, 207
124, 225
127, 243
127,   6
126,  25
121,  43
113,  60
103,  76
 91,  91
 76, 103
 60, 113
 43, 121
 25, 126
  6, 127
243, 127
225, 124
207, 118
190, 110
175,  99
161,  86
150,  71
140,  55
134,  37
129,  19
128,   0
129, 237
134, 219
140, 201
150, 185
161, 170
175, 157
190, 146
207, 138
225, 132
243, 129
  6, 128
 25, 130
 43, 135
 60, 143
 76, 153
 91, 165
103, 180
113, 196
121, 213
126, 231
127, 250
127,  13
124,  31
118,  49
110,  66
 99,  81
 86,  95
 71, 106
 55, 116
 37, 122
 19, 127
  0, 127
237, 127
219, 122
201, 116
185, 106
170,  95
157,  81
146,  66
138,  49
132,  31
129,  13
128, 250
